"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",7964
"af","Africa","afbdi","Burundi","bdi",223
"af","Africa","afben","Benin","ben",9250
"af","Africa","afbwa","Botswana","bwa",5165
"af","Africa","afciv","Cote d'Ivoire","civ",1471140977.0000002
"af","Africa","afcmr","Cameroon","cmr",347299002.99999994
"af","Africa","afcod","Democratic Republic of the Congo","cod",1701
"af","Africa","afcom","Comoros","com",9101
"af","Africa","afegy","Egypt","egy",2623566273
"af","Africa","afeth","Ethiopia","eth",252891
"af","Africa","afgab","Gabon","gab",3130
"af","Africa","afgha","Ghana","gha",230958318.99999997
"af","Africa","afken","Kenya","ken",290193
"af","Africa","aflbr","Liberia","lbr",8
"af","Africa","aflby","Libya","lby",23874
"af","Africa","aflso","Lesotho","lso",110772
"af","Africa","afmar","Morocco","mar",822684
"af","Africa","afmdg","Madagascar","mdg",297
"af","Africa","afmli","Mali","mli",148876
"af","Africa","afmoz","Mozambique","moz",5257
"af","Africa","afmrt","Mauritania","mrt",12171
"af","Africa","afmus","Mauritius","mus",196
"af","Africa","afmwi","Malawi","mwi",3036
"af","Africa","afnam","Namibia","nam",624534
"af","Africa","afnga","Nigeria","nga",25
"af","Africa","afrwa","Rwanda","rwa",424
"af","Africa","afsen","Senegal","sen",402021947.00000006
"af","Africa","afssd","South Sudan","ssd",606
"af","Africa","afswz","Eswatini","swz",34097
"af","Africa","afsyc","Seychelles","syc",8115
"af","Africa","aftgo","Togo","tgo",276081493
"af","Africa","aftun","Tunisia","tun",16366033.000000002
"af","Africa","aftza","Tanzania","tza",780.9999999999999
"af","Africa","afuga","Uganda","uga",3800
"af","Africa","afzaf","South Africa","zaf",8930139341
"af","Africa","afzmb","Zambia","zmb",443466607.99999994
"af","Africa","afzwe","Zimbabwe","zwe",9945
"as","Asia","asare","United Arab Emirates","are",3048020965
"as","Asia","asaze","Azerbaijan","aze",167423312
"as","Asia","asbhr","Bahrain","bhr",7763
"as","Asia","asbrn","Brunei","brn",974077444
"as","Asia","aschn","China","chn",203942326989
"as","Asia","ascyp","Cyprus","cyp",360
"as","Asia","asgeo","Georgia","geo",5663390
"as","Asia","ashkg","Hong Kong","hkg",21954564
"as","Asia","asidn","Indonesia","idn",5108457009
"as","Asia","asind","India","ind",92718714933
"as","Asia","asirq","Iraq","irq",59705
"as","Asia","asisr","Israel","isr",1953462275
"as","Asia","asjor","Jordan","jor",1050354296
"as","Asia","asjpn","Japan","jpn",63981537591
"as","Asia","askaz","Kazakhstan","kaz",8201676.999999999
"as","Asia","askgz","Kyrgyzstan","kgz",450798.00000000006
"as","Asia","askhm","Cambodia","khm",29756
"as","Asia","askor","South Korea","kor",67387753484
"as","Asia","aslao","Laos","lao",2899920
"as","Asia","asmmr","Myanmar","mmr",176822217
"as","Asia","asmys","Malaysia","mys",6968391669
"as","Asia","asomn","Oman","omn",121656
"as","Asia","aspak","Pakistan","pak",3291846354
"as","Asia","asphl","Philippines","phl",3159218176
"as","Asia","asqat","Qatar","qat",118221815
"as","Asia","assau","Saudi Arabia","sau",26566706
"as","Asia","assgp","Singapore","sgp",22489102614
