"","coal","gas","hydro","nuclear","oil","other_renewable","renewables","solar","wind","low_carbon","country"
"Azerbaijan",0.014,117.892,3.874,0,59.722,0.201,4.517,0.108,0.333,4.517,"Azerbaijan"
"Bangladesh",40.092,343.56,2.038,0,101.621,0.019,3.111,1.042,0.013,3.111,"Bangladesh"
"China",22687.462,3073.339,3143.991,863.457,7751.686,254.629,4984.982,554.178,1004.602,5848.439,"China"
"Cyprus",0.194,0,0,0,30.803,0.148,1.272,0.534,0.59,1.272,"Cyprus"
"India",5172.223,596.809,400.77,111.833,2843.931,62.774,736.188,114.569,156.78,848.021,"India"
"Indonesia",946.172,438.174,42.077,0,940.256,38.882,150.75,0.157,0.465,150.75,"Indonesia"
"Iran",14.369,2236.185,71.719,15.874,1089.348,0.061,73.087,0.423,0.885,88.961,"Iran"
"Iraq",0,199.233,6.136,0,412.982,0,6.277,0.142,0,6.277,"Iraq"
"Israel",58.173,107.719,0.057,0,139.635,0.249,7.2,6.734,0.16,7.2,"Israel"
"Japan",1362.561,1081.212,183.059,162.529,2092.356,92.281,483.082,186.396,21.345,645.611,"Japan"
"Kazakhstan",464.422,179.029,24.729,0,190.866,0.013,26.69,0.72,1.228,26.69,"Kazakhstan"
"Kuwait",2.11,235.162,0,0,217.223,0,0.396,0.352,0.043,0.396,"Kuwait"
"Malaysia",249.354,422.883,66.97,0,436.016,2.203,71.139,1.965,0,71.139,"Malaysia"
"Oman",1.912,250.095,0,0,168.533,0,0.009,0.009,0,0.009,"Oman"
"Pakistan",152.934,456.643,88.165,23.573,250.671,2.34,105.21,2.873,11.832,128.783,"Pakistan"
"Philippines",202.638,40.804,23.915,0,253.171,29.15,59.271,3.296,2.909,59.271,"Philippines"
"Qatar",0,410.729,0,0,150.886,0.284,0.305,0.021,0,0.305,"Qatar"
"Saudi Arabia",1.189,1136.444,0,0,1923.385,0,4.41,4.41,0,4.41,"Saudi Arabia"
"South Korea",954.533,559.671,6.873,361.503,1473.368,35.521,87.268,30.044,6.829,448.771,"South Korea"
"Sri Lanka",17.511,0,11.952,0,68.108,0.225,13.999,0.913,0.908,13.999,"Sri Lanka"
"Taiwan",452.917,232.598,13.729,80.04,537.141,4.91,33.534,10.262,4.634,113.574,"Taiwan"
"Thailand",198.331,508.326,15.625,0,756.409,33.993,96.452,12.416,6.591,96.452,"Thailand"
"Turkey",471.24,432.201,220.778,0,564.551,31.474,333.035,27.039,53.744,333.035,"Turkey"
"Turkmenistan",0,315.327,0.008,0,86.675,0,0.025,0.017,0,0.025,"Turkmenistan"
"United Arab Emirates",28.613,759.906,0,0,542.871,0.015,10.342,10.323,0.004,10.342,"United Arab Emirates"
"Uzbekistan",20.193,434.134,16.095,0,25.037,0,16.105,0.009,0,16.105,"Uzbekistan"
"Vietnam",574.99,98.528,162.349,0,296.583,0.189,174.107,10.353,1.216,174.107,"Vietnam"
"Afghanistan",0,0.152,0.84,0,0,0,0.88,0.04,0,0.88,"Afghanistan"
"Armenia",0,2.864,2.347,2.029,0,0,2.363,0.013,0.003,4.392,"Armenia"
"Bhutan",0,0,6.608,0,0,0,6.61,0.001,0.001,6.61,"Bhutan"
"Brunei",0,4.064,0,0,0,0,0.002,0.002,0,0.002,"Brunei"
"Cambodia",3.322,0,4.03,0,0.146,0.073,4.119,0.016,0,4.119,"Cambodia"
"Georgia",0,2.681,8.843,0,0,0,8.928,0,0.085,8.928,"Georgia"
"Jordan",0,15.456,0.013,0,1.573,0.004,2.717,1.5,1.2,2.717,"Jordan"
"Kyrgyzstan",1.056,0,13.706,0,0.078,0,13.706,0,0,13.706,"Kyrgyzstan"
"Laos",14.356,0,19.33,0,0,0.059,19.409,0.02,0,19.409,"Laos"
"Lebanon",0,9.263,0.301,0,11.139,0,0.387,0.08,0.006,0.387,"Lebanon"
"Mongolia",5.957,0,0.093,0,0,0,0.513,0.04,0.38,0.513,"Mongolia"
"Myanmar",0,0,0,0,0,0,0,0,0,0,"Myanmar"
"Nepal",0,0,5.326,0,0,0,5.42,0.08,0.014,5.42,"Nepal"
"North Korea",2.108,0,13.65,0,0,0,13.666,0.015,0.001,13.666,"North Korea"
"Palestine",0,0,0,0,0.294,0,0,0,0,0,"Palestine"
"Syria",0,7.385,0.859,0,8.989,0.033,0.892,0,0,0.892,"Syria"
"Tajikistan",0,0,18.977,0,1.417,0,18.977,0,0,18.977,"Tajikistan"
"Yemen",0,0.771,0,0,1.243,0,0.5,0.5,0,0.5,"Yemen"
